q1(deg),q2(deg),q3(deg),q4(deg),q5(deg),q6(deg),q7(deg),tau_1 (Nm),tau_2 (Nm),tau_3 (Nm),tau_4 (Nm),tau_5(Nm),tau_6(Nm),tau_7(Nm),Fx (N),Fy (N),Fz (N),tau_x (Nm),tau_y (Nm),tau_z (Nm)
-65.74666485967505,-59.182278663300856,76.85981247685461,-113.082094544221,-61.35211649020525,158.4075313179308,83.81930520393145,-0.3941883024409947,-1.8499833303571331,3.0210647654587923,-1.718630500294089,-0.6604532479826257,0.8247461767817594,0.3001894972286995,-4.440344377706351,-8.42327370029875,0.8743241571537764,-2.3602028615981823,2.405203414586075,0.41522838024174197
-65.74677935747097,-59.18218054309094,76.85998021548166,-113.0818776440199,-61.352156963332206,158.40757470077634,83.81953007991241,-0.4041322170339751,-1.829156191515136,3.0003877782714787,-1.7242639244980769,-0.6601378660313113,0.8231685990496438,0.299140937163457,-4.4560811767192465,-8.372818737621893,0.8827373613906893,-2.340661813464361,2.4026653906275546,0.4124433377790879
-65.74697996465882,-59.18218054309348,76.8600546023914,-113.08201922915731,-61.35226402444232,158.40759275242291,83.8194807252575,-0.4128810530112717,-1.8330131941120322,3.0004252952064583,-1.727804125299378,-0.6616351592083787,0.8212162238739595,0.29944725828920005,-4.459004779390968,-8.38837988996477,0.9007593692252412,-2.348400277965086,2.4058159878061387,0.4131726632573932
-65.74656522781692,-59.182263487184755,76.85993136104126,-113.08224054417282,-61.35226402494207,158.407531290053,83.8195277740991,-0.4213955223785124,-1.828670865341953,3.0082862332364946,-1.729975980495018,-0.6601948024159213,0.8214364183965757,0.3012741813230975,-4.435812646268141,-8.405929748086502,0.9303068097034634,-2.346764411761226,2.4011359824768146,0.41437422710075367
-65.74656723283816,-59.18227866111598,76.86004109803315,-113.08188607882406,-61.35238252374767,158.40761811458566,83.81928721675762,-0.4109941496508588,-1.8351321067490247,3.00148086555001,-1.7237344619104762,-0.6593978890125524,0.8209793610830527,0.3017522646274268,-4.449791417119367,-8.394725405317256,0.9028841324035961,-2.3519052861888965,2.4051126382169516,0.41580001515338977
-65.74667642751423,-59.182180549336806,76.85988157169702,-113.08213835625939,-61.35199507078861,158.40761836134803,83.81952776381833,-0.3896607533263935,-1.845462036006402,3.0249444449225824,-1.7162933432569323,-0.6579214196081794,0.8255064132658668,0.3012273843124882,-4.42547818462156,-8.41920323099922,0.8687663766462033,-2.3537024515061384,2.398762296346455,0.41563141367080303
-65.74677883348468,-59.18240143805923,76.85999911388994,-113.08201486237434,-61.351977078715805,158.40757470078904,83.81931914619148,-0.4106491955687346,-1.8319752985672235,2.993366705009069,-1.7180377787834462,-0.658273807075243,0.8222219779791247,0.2981159945203753,-4.4386903679405485,-8.370402213398291,0.9078127854931042,-2.3449366134485063,2.4025736480051343,0.4127881227850379
-65.74691088380958,-59.182278663300856,76.85981222143644,-113.0821177755044,-61.35222058630434,158.40753129005154,83.81957192526569,-0.41074077634896167,-1.8358361076628746,3.0038223903131422,-1.7275542360956229,-0.6593815669415405,0.8236910308999018,0.30127376160277447,-4.463064317873659,-8.399132073058778,0.8990844526402276,-2.351750862319454,2.409389472476703,0.4158242038195349
-65.74666485967781,-59.18227410984046,76.85980057882885,-113.08190084902465,-61.352264024441226,158.40757471037267,83.81941744893682,-0.4315620860605283,-1.8325894421213724,3.001268356869028,-1.739017271995519,-0.6605353375164176,0.8179049376200144,0.30002656733907535,-4.459484642591569,-8.410863713588197,0.9339979918925284,-2.3537051032036063,2.404944900750014,0.414428823565316
-65.74677933942556,-59.18237947465038,76.86010789286838,-113.08224017690391,-61.35217745284436,158.40762036115177,83.81954850826591,-0.4254707415188812,-1.8309374542853492,3.007286287348911,-1.7450459981665516,-0.6636865636526473,0.8207023437995673,0.30100420250546794,-4.485300019698494,-8.41423637286934,0.9124384843451252,-2.351246564315581,2.4106000322624723,0.41423973080120763
